Threads,Time,Text,Efficiency,Normalized
1,385.050157592773,"T=1, t=385.050s",1,1.16129032258065
2,237.817525553385,"T=2, t=237.818s",1.61909916729975,0.94012209714179
3,202.146141174316,"T=3, t=202.146s",1.90481082327826,0.737346125139972
4,178.134568505859,"T=4, t=178.135s",2.16156898025162,0.627552284589181
5,157.906532128906,"T=5, t=157.907s",2.43846883597215,0.56635405222579
6,155.779962646484,"T=6, t=155.780s",2.47175664348167,0.478404511641613
7,151.682128662109,"T=7, t=151.682s",2.53853345142934,0.421139190098876
8,154.600330712891,"T=8, t=154.600s",2.49061664885991,0.361541126447406
9,152.470482861328,"T=9, t=152.470s",2.5254078715221,0.3258590801964
10,154.230173144531,"T=10, t=154.230s",2.49659421202839,0.289927069783942
11,158.691424609375,"T=11, t=158.691s",2.42640809697556,0.256160385604457
12,163.082093066406,"T=12, t=163.082s",2.36108177392586,0.228491784573471
13,167.564016259766,"T=13, t=167.564s",2.29792867339638,0.205274025415062
14,172.852481054688,"T=14, t=172.852s",2.22762297216289,0.184779785709365
15,179.541783837891,"T=15, t=179.542s",2.1446270019264,0.166035638858818
16,212.316797900391,"T=16, t=212.317s",1.81356426528918,0.13162966441615
17,219.397157128906,"T=17, t=219.397s",1.75503713280359,0.119888684593793
18,224.47464765625,"T=18, t=224.475s",1.71533917800117,0.110667043742011
19,230.558226611328,"T=19, t=230.558s",1.67007772072209,0.102076057633269
20,238.552078173828,"T=20, t=238.552s",1.61411361636596,0.093722726111572
21,244.736373974609,"T=21, t=244.736s",1.57332623401833,0.0870042157060827
22,248.964801806641,"T=22, t=248.965s",1.54660480035175,0.081638963068421
23,254.218638183594,"T=23, t=254.219s",1.51464172864735,0.0764755992023907
24,261.92980078125,"T=24, t=261.930s",1.47005096955099,0.0711314985266607
25,267.389629785156,"T=25, t=267.390s",1.44003399796079,0.0668919018407592
26,272.912098925781,"T=26, t=272.912s",1.4108944202488,0.0630176167853062
27,279.58433203125,"T=27, t=279.584s",1.37722366198166,0.0592354263217917
28,286.797316503906,"T=28, t=286.797s",1.34258633339594,0.0556833041500619
29,292.24342578125,"T=29, t=292.243s",1.31756653400645,0.0527612850102695
30,298.135705908203,"T=30, t=298.136s",1.291526475904,0.0499945732608001
31,302.443825878906,"T=31, t=302.444s",1.27312950255742,0.0476926764745754
32,308.514037792969,"T=32, t=308.514s",1.248079861608,0.0452932207841613
33,309.786126171875,"T=33, t=309.786s",1.24295481644372,0.0437403454466998
34,311.536900292969,"T=34, t=311.537s",1.23596966276121,0.0422152825990546
35,314.471413671875,"T=35, t=314.471s",1.22443611995379,0.0406264519063008
36,320.479581494141,"T=36, t=320.480s",1.20148109217315,0.0387574545862306
37,326.138840234375,"T=37, t=326.139s",1.18063263276481,0.0370556013770997
38,330.905304150391,"T=38, t=330.905s",1.16362642956541,0.0355607397829835
39,336.342355712891,"T=39, t=336.342s",1.14481614061555,0.0340888180828451
40,342.718477099609,"T=40, t=342.718s",1.12351735701971,0.0326182458489593
41,347.167190332031,"T=41, t=347.167s",1.10912024037903,0.0314148927251337
42,353.156207763672,"T=42, t=353.156s",1.09031116862158,0.030146852588615
43,358.283761328125,"T=43, t=358.284s",1.07470725484579,0.0290243519688285
44,363.178934326172,"T=44, t=363.179s",1.06022161860016,0.0279823887607079
45,368.037766552734,"T=45, t=368.038s",1.04622457961146,0.026999343989973
46,373.365154443359,"T=46, t=373.365s",1.03129644802241,0.0260355344521785
47,377.243975244141,"T=47, t=377.244s",1.02069266273525,0.0252195853524153
48,382.721248144531,"T=48, t=382.721s",1.00608513235033,0.0243407693310563
49,387.32306328125,"T=49, t=387.323s",0.994131757429518,0.0235607263116937
50,391.148813867187,"T=50, t=391.149s",0.98440834777404,0.0228636777547519
51,395.715805859375,"T=51, t=395.716s",0.973047201783009,0.0221566725263683
52,401.063128515625,"T=52, t=401.063s",0.960073689690406,0.0214408516308031
53,410.471160742188,"T=53, t=410.471s",0.938068723017107,0.020554153395384
54,420.298640673828,"T=54, t=420.299s",0.916134672659079,0.0197018209173996
55,421.916669628906,"T=55, t=421.917s",0.91262134281502,0.0192694242471207
56,442.402850976563,"T=56, t=442.403s",0.870360931767984,0.0180489594145434
