Threads,Time,Text,Efficiency,Normalized
1,324.070717366536,"T=1, t=324.071s",1.16129032258065,1.16129032258065
2,169.884056722005,"T=2, t=169.884s",2.21527667263893,1.10763833631946
3,121.781551513672,"T=3, t=121.782s",3.09028899067094,1.03009633022365
4,96.5837631835937,"T=4, t=96.584s",3.89651609654254,0.974129024135636
5,82.6537023925781,"T=5, t=82.654s",4.55321633533164,0.910643267066327
6,72.3969242350261,"T=6, t=72.397s",5.19828973241726,0.866381622069543
7,66.6252084147136,"T=7, t=66.625s",5.64861554453937,0.806945077791339
8,58.8254924316406,"T=8, t=58.825s",6.39756969900184,0.79969621237523
9,56.6164599609375,"T=9, t=56.616s",6.64718684582508,0.738576316202787
10,52.3445852864583,"T=10, t=52.345s",7.18966796374421,0.718966796374421
11,50.2796263020833,"T=11, t=50.280s",7.48494401387253,0.680449455806593
12,47.1926587727865,"T=12, t=47.193s",7.97454938323038,0.664545781935865
13,47.0668356933594,"T=13, t=47.067s",7.9958676287776,0.6150667406752
14,46.2398010253906,"T=14, t=46.240s",8.13887991652202,0.581348565465859
15,47.3862181803385,"T=15, t=47.386s",7.94197558617744,0.529465039078496
16,48.3988194173177,"T=16, t=48.399s",7.77581338636675,0.485988336647922
17,48.6060296223958,"T=17, t=48.606s",7.74266466183699,0.455450862461
18,47.8524729003906,"T=18, t=47.852s",7.86459225822902,0.436921792123835
19,47.1890502929688,"T=19, t=47.189s",7.97515918572325,0.419745220301224
20,47.1623327636719,"T=20, t=47.162s",7.97967712486463,0.398983856243232
21,47.6895310058594,"T=21, t=47.690s",7.89146338770426,0.37578397084306
22,45.870828125,"T=22, t=45.871s",8.20434693012262,0.372924860460119
23,46.6854424641927,"T=23, t=46.685s",8.06118927111327,0.350486490048403
24,46.9322564290365,"T=24, t=46.932s",8.01879595281272,0.334116498033863
25,46.210921875,"T=25, t=46.211s",8.14396624519896,0.325758649807958
26,47.1391157226563,"T=26, t=47.139s",7.9836072896176,0.307061818831446
27,46.8902276204427,"T=27, t=46.890s",8.02598338732426,0.297258643974973
28,47.4570556640625,"T=28, t=47.457s",7.93012087756879,0.283218602770314
29,48.872064046224,"T=29, t=48.872s",7.70051757080646,0.265535088648499
30,48.8923683268229,"T=30, t=48.892s",7.69731965925368,0.256577321975123
31,49.0132545572917,"T=31, t=49.013s",7.67833499955857,0.247688225792212
32,50.4124510091146,"T=32, t=50.412s",7.46522298313732,0.233288218223041
33,50.2666763509115,"T=33, t=50.267s",7.48687232237709,0.226874918859912
34,50.3088683268229,"T=34, t=50.309s",7.4805933909047,0.220017452673668
35,50.3566232910156,"T=35, t=50.357s",7.47349928001767,0.213528550857648
36,52.0131673990885,"T=36, t=52.013s",7.23547914361626,0.200985531767118
37,51.6890393880208,"T=37, t=51.689s",7.28085087990133,0.196779753510847
38,52.822429280599,"T=38, t=52.822s",7.12462855334356,0.187490225087988
39,53.520290608724,"T=39, t=53.520s",7.03172915597326,0.180300747589058
40,54.9341528320313,"T=40, t=54.934s",6.85075073534379,0.171268768383595
41,55.2768927408854,"T=41, t=55.277s",6.80827320872845,0.166055444115328
42,56.341858968099,"T=42, t=56.342s",6.6795841458233,0.159037717757698
43,55.7724827473958,"T=43, t=55.772s",6.74777541487694,0.156925009648301
44,56.4155770670573,"T=44, t=56.416s",6.67085594927438,0.151610362483509
45,57.0903322753906,"T=45, t=57.090s",6.59201256868059,0.146489168192902
46,58.6579751790365,"T=46, t=58.658s",6.41584007563945,0.139474784253032
47,59.6259484049479,"T=47, t=59.626s",6.31168472748849,0.134291164414649
48,59.6724083658854,"T=48, t=59.672s",6.30677055301624,0.131391053187838
49,60.8273269042969,"T=49, t=60.827s",6.18702492880616,0.126265814873595
50,61.7055246582031,"T=50, t=61.706s",6.09897071606044,0.121979414321209
51,62.165907796224,"T=51, t=62.166s",6.05380346319636,0.118702028690125
52,62.9544770507813,"T=52, t=62.954s",5.97797337917615,0.114961026522618
53,64.241353108724,"T=53, t=64.241s",5.85822324247431,0.110532514008949
54,64.7889357096354,"T=54, t=64.789s",5.80871075882725,0.10756871775606
55,65.2985091145833,"T=55, t=65.299s",5.76338101761464,0.104788745774812
56,65.9178627115885,"T=56, t=65.918s",5.70922921994806,0.101950521784787
